2019-12-12 14:54:38.385441|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.0 (2019-06-24 09:23:59)
2019-12-12 14:54:38.386523|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.14.154-boot2docker #1 SMP Thu Nov 14 19:19:08 UTC 2019 x86_64 Binary: 64bit
2019-12-12 14:54:38.387770|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2019-12-12 14:54:38.388109|INFO    |ServerLibPriv |   |Using hardware aes
2019-12-12 14:54:38.388766|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-12-12 14:54:38.389163|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-12-12 14:54:38.390711|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-12-12 14:54:38.410520|INFO    |SQL           |   |db_CreateTables() tables created
2019-12-12 14:54:38.452864|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-12-12 14:54:38.453435|INFO    |Accounting    |   |Licensing Information
2019-12-12 14:54:38.453693|INFO    |Accounting    |   |licensed to       : Anonymous
2019-12-12 14:54:38.453864|INFO    |Accounting    |   |type              : No License
2019-12-12 14:54:38.454148|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-12-12 14:54:38.454341|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-12-12 14:54:38.454533|INFO    |Accounting    |   |max virtualservers: 1
2019-12-12 14:54:38.454724|INFO    |Accounting    |   |max slots         : 32
2019-12-12 14:54:38.543443|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-12-12 14:54:39.713620|INFO    |              |   |Puzzle precompute time: 1213
2019-12-12 14:54:39.714421|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-12-12 14:54:39.715315|INFO    |VirtualSvrMgr |   |executing monthly interval
2019-12-12 14:54:39.715640|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2019-12-12 14:54:39.729939|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-12-12 14:54:39.730354|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-12-12 14:54:39.730579|INFO    |Query         |   |creating QUERY_SSH_RSA_HOST_KEY file: ssh_host_rsa_key
2019-12-12 14:54:41.385473|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
