2019-12-12 14:53:30.896277|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.9.0 (2019-06-24 09:23:59)
2019-12-12 14:53:30.897338|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.14.154-boot2docker #1 SMP Thu Nov 14 19:19:08 UTC 2019 x86_64 Binary: 64bit
2019-12-12 14:53:30.897534|WARNING |ServerLibPriv |   |The system locale is set to "C" this can cause unexpected behavior. We advice you to repair your locale!
2019-12-12 14:53:30.897720|INFO    |ServerLibPriv |   |Using hardware aes
2019-12-12 14:53:30.898841|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-12-12 14:53:30.900387|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-12-12 14:53:30.900852|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-12-12 14:53:30.921521|INFO    |SQL           |   |db_CreateTables() tables created
2019-12-12 14:53:30.959418|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-12-12 14:53:30.960001|INFO    |Accounting    |   |Licensing Information
2019-12-12 14:53:30.960943|INFO    |Accounting    |   |licensed to       : Anonymous
2019-12-12 14:53:30.961221|INFO    |Accounting    |   |type              : No License
2019-12-12 14:53:30.961472|INFO    |Accounting    |   |starting date     : Tue Jan  1 00:00:00 2019
2019-12-12 14:53:30.961967|INFO    |Accounting    |   |ending date       : Fri Jan 31 00:00:00 2020
2019-12-12 14:53:30.962166|INFO    |Accounting    |   |max virtualservers: 1
2019-12-12 14:53:30.962847|INFO    |Accounting    |   |max slots         : 32
2019-12-12 14:53:31.079176|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-12-12 14:53:32.235136|INFO    |              |   |Puzzle precompute time: 1231
2019-12-12 14:53:32.235939|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-12-12 14:53:32.236853|INFO    |VirtualSvrMgr |   |executing monthly interval
2019-12-12 14:53:32.237173|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2019-12-12 14:53:32.256005|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-12-12 14:53:32.256419|INFO    |Query         |   |listening for query ssh on 0.0.0.0:10022, [::]:10022
2019-12-12 14:53:32.256693|INFO    |Query         |   |creating QUERY_SSH_RSA_HOST_KEY file: ssh_host_rsa_key
2019-12-12 14:53:40.135460|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2019-12-12 14:54:37.366456|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
